mechanism,eps,delta,util_mean,util_std,reid_mean,reid_std,joint_score
gaussian_analytic,0.05,1e-05,0.26014357221879353,0.13354312021869366,0.06480908152734778,0.00017874621337139843,0.19533449069144576
gaussian_analytic,0.1,1e-05,0.5133212399899408,0.05572577392659364,0.06625386996904024,0.0018832082137146215,0.4470673700209006
gaussian_analytic,0.15,1e-05,0.6055215797588932,0.024795616063785362,0.06470588235294118,0.0,0.540815697405952
gaussian_analytic,0.175,1e-05,0.6310481111852334,0.0052217916556451995,0.06811145510835914,0.005115390601194521,0.5629366560768743
gaussian_analytic,0.2,1e-05,0.6640117676367021,0.01254162985335097,0.06749226006191951,0.002418033955389061,0.5965195075747826
gaussian_analytic,0.225,1e-05,0.6862715090644351,0.012626372158268413,0.0716202270381837,0.0029425340411523794,0.6146512820262514
gaussian_analytic,0.25,1e-05,0.7191111733082663,0.015451043774230979,0.07739938080495357,0.010342596339622331,0.6417117925033128
gaussian_analytic,0.3,1e-05,0.7045354548026083,0.0694766620290386,0.09040247678018576,0.00877860487848782,0.6141329780224225
gaussian_analytic,0.35,1e-05,0.7623233767291561,0.07447163967654823,0.1090815273477812,0.018794720227586728,0.6532418493813749
gaussian_analytic,0.4,1e-05,0.7568726782685666,0.012088501888660116,0.143343653250774,0.017657918553064027,0.6135290250177926
gaussian_analytic,0.5,1e-05,0.7781207339502823,0.03216858707290609,0.19349845201238391,0.015789473684210548,0.5846222819378983
gaussian_analytic,0.75,1e-05,0.8267570312169644,0.06278839931246212,0.247781217750258,0.06569403628291799,0.5789758134667065
gaussian_analytic,1.0,1e-05,0.8500162262486461,0.024916236095377492,0.33539731682146545,0.06986507888909622,0.5146189094271807
gaussian_analytic,1.5,1e-05,0.904920020569408,0.058475887302399415,0.38369453044375645,0.045093315893995324,0.5212254901256516
gaussian_analytic,2.0,1e-05,0.9230670819959167,0.0016105060547975795,0.477296181630547,0.028606096337103853,0.4457709003653697
gaussian_analytic,4.0,1e-05,0.9595717127612957,0.01179084124295996,0.6170278637770897,0.017532625553891984,0.342543848984206
gaussian_analytic,8.0,1e-05,0.9623594625000899,0.028375182083374115,0.603405572755418,0.017988655165738613,0.3589538897446719
gaussian_analytic,20.0,1e-05,0.951096059964855,0.016106457065557214,0.6351909184726522,0.03135709928635395,0.31590514149220283
laplace,0.05,0.0,0.5448667346303266,0.1058512201784802,0.06563467492260062,0.0011162697447256959,0.47923205970772603
laplace,0.1,0.0,0.7011784534646196,0.029943289003741633,0.08782249742002064,0.017650679475767664,0.6133559560445989
laplace,0.15,0.0,0.7723133012209952,0.03201422418362986,0.11300309597523221,0.019087384076530475,0.659310205245763
laplace,0.175,0.0,0.7486054581580852,0.02145707735091103,0.1497420020639835,0.013259788799100974,0.5988634560941017
laplace,0.2,0.0,0.7187812277052518,0.040204133393541744,0.1740970072239422,0.022742953418059264,0.5446842204813096
laplace,0.225,0.0,0.7700594748648174,0.03785677027018302,0.17678018575851392,0.027741389280926048,0.5932792891063035
laplace,0.25,0.0,0.8109166577892966,0.029191667769159158,0.1941176470588235,0.03780514105263316,0.616799010730473
laplace,0.3,0.0,0.8195967936325994,0.055411798839162606,0.2503611971104231,0.013637527832912076,0.5692355965221763
laplace,0.35,0.0,0.8531876441141372,0.028402213574932143,0.2781217750257998,0.04199623168418225,0.5750658690883373
laplace,0.4,0.0,0.8509989227215747,0.008267153501190031,0.3557275541795666,0.058094719257446366,0.49527136854200815
laplace,0.5,0.0,0.8857633509089742,0.022252018785800853,0.3217750257997936,0.02418892667432302,0.5639883251091806
laplace,0.75,0.0,0.9385641239457483,0.022660322318618642,0.4953560371517028,0.03948187858854297,0.4432080867940455
laplace,1.0,0.0,0.9358046546774781,0.03134941478998402,0.5628482972136223,0.011505203824187063,0.3729563574638558
laplace,1.5,0.0,0.9694787748195018,0.0057039715448467055,0.6125902992776058,0.013114418551404,0.35688847554189607
laplace,2.0,0.0,0.9490640624047623,0.01166256366578101,0.6325077399380805,0.010835913312693513,0.31655632246668175
laplace,4.0,0.0,0.9685805826771959,0.011857413694152734,0.6212590299277606,0.020136536440322903,0.3473215527494353
laplace,8.0,0.0,0.953323282799991,0.021360642804904004,0.6625386996904025,0.018645380711967294,0.29078458310958855
laplace,20.0,0.0,0.9652918312402785,0.009063390457611334,0.6749226006191952,0.019658833271068158,0.29036923062108333
laplace_bounded,0.05,1e-05,0.5360294033493521,0.13866971037992307,0.06480908152734778,0.00017874621337139843,0.47122032182200435
laplace_bounded,0.1,1e-05,0.6752500065399308,0.045923474149949094,0.08214654282765738,0.008134425758075773,0.5931034637122734
laplace_bounded,0.15,1e-05,0.7587233970021817,0.010287075221250273,0.13374613003095975,0.009979418861477525,0.6249772669712219
laplace_bounded,0.175,1e-05,0.7106068734946751,0.019891053059095654,0.1570691434468524,0.0038710008944295173,0.5535377300478227
laplace_bounded,0.2,1e-05,0.7728074520872985,0.010959529437144032,0.13808049535603714,0.020853639775911974,0.6347269567312613
laplace_bounded,0.225,1e-05,0.7855007501073127,0.008434519260042022,0.17058823529411762,0.031960602706654635,0.6149125148131951
laplace_bounded,0.25,1e-05,0.7958164305924615,0.029666148403620606,0.20939112487100106,0.04184188859396401,0.5864253057214605
laplace_bounded,0.3,1e-05,0.8235291367795275,0.016673425371391125,0.20505675954592362,0.020420141404469114,0.6184723772336039
laplace_bounded,0.35,1e-05,0.8509773308345628,0.03016348379040243,0.24148606811145512,0.037276621771380754,0.6094912627231077
laplace_bounded,0.4,1e-05,0.8866874139865043,0.032048932834763864,0.34241486068111454,0.04283312782897306,0.5442725533053898
laplace_bounded,0.5,1e-05,0.8663105775830205,0.039090708765697174,0.39814241486068114,0.0504900312864302,0.4681681627223394
laplace_bounded,0.75,1e-05,0.918603279356172,0.0338403278466656,0.481733746130031,0.055011742626616414,0.436869533226141
laplace_bounded,1.0,1e-05,0.9607524693692197,0.007593505302370384,0.5527347781217751,0.032425568167931566,0.4080176912474446
laplace_bounded,1.5,1e-05,0.9636589148216625,0.008957273839472268,0.5901960784313726,0.040567121596102956,0.37346283639029
laplace_bounded,2.0,1e-05,0.9604777597155634,0.007178227836069953,0.6141382868937049,0.048441213183730875,0.3463394728218585
laplace_bounded,4.0,1e-05,0.965522533031093,0.006598648193824391,0.6553147574819401,0.026241624380939618,0.3102077755491529
laplace_bounded,8.0,1e-05,0.9479519592988738,0.015219711923078394,0.6461300309597523,0.03026464250117629,0.30182192833912147
laplace_bounded,20.0,1e-05,0.9558201998097923,0.006763654282654269,0.6256965944272447,0.06172415003469067,0.3301236053825476
