mechanism,eps,delta,util_mean,util_std,reid_mean,reid_std,joint,joint_score
gaussian_analytic,0.05,1e-05,0.26014357221879353,0.13354312021869366,0.04666105499438833,0.0005604653298383316,0.2134825172244052,0.2134825172244052
gaussian_analytic,0.1,1e-05,0.5133212399899408,0.05572577392659364,0.05695847362514029,0.002872249912061831,0.45636276636480055,0.45636276636480055
gaussian_analytic,0.15,1e-05,0.6055215797588932,0.024795616063785362,0.09593153759820426,0.005241434087019361,0.5095900421606889,0.5095900421606889
gaussian_analytic,0.175,1e-05,0.6310481111852334,0.0052217916556451995,0.13173400673400673,0.0046296296296296155,0.4993141044512267,0.4993141044512267
gaussian_analytic,0.2,1e-05,0.6640117676367021,0.01254162985335097,0.1681537598204265,0.010520987616008707,0.49585800781627565,0.49585800781627565
gaussian_analytic,0.225,1e-05,0.6862715090644351,0.012626372158268413,0.2132435465768799,0.0025031769842526444,0.4730279624875552,0.4730279624875552
gaussian_analytic,0.25,1e-05,0.7191111733082663,0.015451043774230979,0.2599046015712682,0.014864074187117745,0.45920657173699814,0.45920657173699814
gaussian_analytic,0.3,1e-05,0.7045354548026083,0.0694766620290386,0.3563692480359147,0.010931531836732221,0.3481662067666936,0.3481662067666936
gaussian_analytic,0.35,1e-05,0.7623233767291561,0.07447163967654823,0.45331088664422,0.008266461844490857,0.3090124900849361,0.3090124900849361
gaussian_analytic,0.4,1e-05,0.7568726782685666,0.012088501888660116,0.518658810325477,0.014330875033423037,0.23821386794308963,0.23821386794308963
gaussian_analytic,0.5,1e-05,0.7781207339502823,0.03216858707290609,0.6385521885521886,0.013257776172928028,0.1395685453980936,0.1395685453980936
gaussian_analytic,0.75,1e-05,0.8267570312169644,0.06278839931246212,0.7786756453423119,0.00786455398851015,0.048081385874652494,0.048081385874652494
gaussian_analytic,1.0,1e-05,0.8500162262486461,0.024916236095377492,0.8442480359147027,0.0023693953011835736,0.00576819033394349,0.00576819033394349
gaussian_analytic,1.5,1e-05,0.904920020569408,0.058475887302399415,0.9021885521885521,0.003865643940473095,0.002731468380855917,0.002731468380855917
gaussian_analytic,2.0,1e-05,0.9230670819959167,0.0016105060547975795,0.9388327721661055,0.0033100543000631065,-0.015765690170188806,-0.015765690170188806
gaussian_analytic,4.0,1e-05,0.9595717127612957,0.01179084124295996,0.9646184062850729,0.00674522074133186,-0.005046693523777179,-0.005046693523777179
gaussian_analytic,8.0,1e-05,0.9623594625000899,0.028375182083374115,0.9750561167227834,0.0015551522402414636,-0.012696654222693504,-0.012696654222693504
gaussian_analytic,20.0,1e-05,0.951096059964855,0.016106457065557214,0.9747755331088664,0.0060654753478316704,-0.02367947314401142,-0.02367947314401142
laplace,0.05,0.0,0.5448667346303266,0.1058512201784802,0.0675084175084175,0.006423833006174723,0.4773583171219091,0.4773583171219091
laplace,0.1,0.0,0.7011784534646196,0.029943289003741633,0.3152076318742985,0.002388753833197822,0.3859708215903211,0.3859708215903211
laplace,0.15,0.0,0.7723133012209952,0.03201422418362986,0.5330527497194164,0.014419595672213011,0.23926055150157877,0.23926055150157877
laplace,0.175,0.0,0.7486054581580852,0.02145707735091103,0.606986531986532,0.012275717490999372,0.14161892617155325,0.14161892617155325
laplace,0.2,0.0,0.7187812277052518,0.040204133393541744,0.6738215488215489,0.012610540154917565,0.04495967888370289,0.04495967888370289
laplace,0.225,0.0,0.7700594748648174,0.03785677027018302,0.7242985409652075,0.010863913465227278,0.04576093389960989,0.04576093389960989
laplace,0.25,0.0,0.8109166577892966,0.029191667769159158,0.7522727272727273,0.0022913564964337305,0.05864393051656924,0.05864393051656924
laplace,0.3,0.0,0.8195967936325994,0.055411798839162606,0.7874579124579125,0.0057848557260275,0.032138881174686884,0.032138881174686884
laplace,0.35,0.0,0.8531876441141372,0.028402213574932143,0.8449214365881033,0.010321778420689943,0.008266207526033909,0.008266207526033909
laplace,0.4,0.0,0.8509989227215747,0.008267153501190031,0.8744949494949495,0.011710021910086833,-0.023496026773374812,-0.023496026773374812
laplace,0.5,0.0,0.8857633509089742,0.022252018785800853,0.897334455667789,0.01267731914385444,-0.011571104758814843,-0.011571104758814843
