mechanism,eps,macro_f1_mean,macro_f1_std,f1_N_mean,f1_N_std,f1_S_mean,f1_S_std,f1_V_mean,f1_V_std
gaussian_analytic,0.05,0.26014357221879353,0.13354312021869366,0.025300221463100556,0.03057787836952811,0.05331895291489672,0.031061738906771146,0.7018115422783834,0.3998619376901083
gaussian_analytic,0.1,0.5133212399899408,0.05572577392659364,0.47647610452476186,0.13426600560480542,0.10484446029248595,0.014327482128918986,0.9586431551525748,0.05208086490383697
gaussian_analytic,0.15,0.6055215797588932,0.024795616063785362,0.7233498258282692,0.021164980844793783,0.15506053629584415,0.0010755706196006146,0.9381543771525661,0.057525748481477526
gaussian_analytic,0.175,0.6310481111852334,0.0052217916556451995,0.7732614917357825,0.026343131541751552,0.1778359753694412,0.012924318048360339,0.9420468664504766,0.049833902231940376
gaussian_analytic,0.2,0.6640117676367021,0.01254162985335097,0.8445102494627218,0.033674585418702885,0.21353656987227612,0.04073472252543833,0.9339884835751086,0.03521778946317177
gaussian_analytic,0.225,0.6862715090644351,0.012626372158268413,0.8804712409174513,0.02090018861812636,0.2508917079890514,0.017486109417714852,0.9274515782868026,0.018377216556443254
gaussian_analytic,0.25,0.7191111733082663,0.015451043774230979,0.9150445042437002,0.02422602464667529,0.29188863637849355,0.022351946371864346,0.9504003793026053,0.018113572303891306
gaussian_analytic,0.3,0.7045354548026083,0.0694766620290386,0.885020885617252,0.07047256106152056,0.30825442744739345,0.1335214227282433,0.9203310513431792,0.05820016953198027
gaussian_analytic,0.35,0.7623233767291561,0.07447163967654823,0.9492246065030469,0.02384234369844818,0.4109324457253325,0.20174257650679464,0.9268130779590887,0.017777561361853423
gaussian_analytic,0.4,0.7568726782685666,0.012088501888660116,0.9424501485849083,0.013293513734250249,0.3675872901009048,0.040725551164830974,0.9605805961198869,0.010622034892784937
gaussian_analytic,0.5,0.7781207339502823,0.03216858707290609,0.9441148980564079,0.020474511050155554,0.43199994172628314,0.094648889648176,0.9582473620681554,0.02597318089098328
gaussian_analytic,0.75,0.8267570312169644,0.06278839931246212,0.9614427952849645,0.021787169800383158,0.56221573776534,0.16336855268410683,0.956612560600589,0.021427461527499213
gaussian_analytic,1.0,0.8500162262486461,0.024916236095377492,0.9719126473526174,0.007114825689966429,0.585783888289137,0.07245995777529642,0.9923521431041841,0.0094759870972642
gaussian_analytic,1.5,0.904920020569408,0.058475887302399415,0.9855345797613615,0.009158656844961852,0.7431693386485216,0.16893826454246658,0.9860561432983408,0.013301934919462882
gaussian_analytic,2.0,0.9230670819959167,0.0016105060547975795,0.9902910272814404,0.0013876542619936376,0.7829594684128937,0.003835734784169665,0.9959507502934158,0.003057927578942962
gaussian_analytic,4.0,0.9595717127612957,0.01179084124295996,0.995421980877241,0.001691211384297418,0.8914446671054387,0.039634400225292486,0.9918484903012078,0.007250846260445973
gaussian_analytic,8.0,0.9623594625000899,0.028375182083374115,0.9961524433228787,0.002469190680909917,0.8952079161099338,0.07792839724704458,0.995718028067457,0.0049626593888077485
gaussian_analytic,20.0,0.951096059964855,0.016106457065557214,0.994528218203976,0.0015060564852676095,0.8603103493375186,0.044258611507162066,0.9984496123530701,0.002685350089253312
laplace,0.05,0.5448667346303266,0.1058512201784802,0.6077340701906713,0.32784995457799565,0.1695690980508958,0.08022341273642541,0.8572970356494127,0.1461229558414248
