database,mechanism,eps,delta,util_n,naive_n,adapt_n,util_mean,util_std,naive_mean,naive_std,adapt_mean,adapt_std,gap
ecgid,laplace,0.4,0.0,8,8,8,0.8452966131406325,0.03213147292938558,0.07008513931888546,0.006120636433503319,0.3478715170278638,0.04258608102706501,0.2777863777089783
ecgid,laplace,0.5,0.0,8,8,8,0.8775699729433992,0.02088047983885432,0.068343653250774,0.00991644574414191,0.4187693498452012,0.0490338189476814,0.3504256965944272
ecgid,laplace,0.75,0.0,8,8,8,0.9284951017940379,0.017831770380764087,0.06907894736842105,0.005872888636201868,0.5231037151702786,0.03201985883744285,0.45402476780185763
ecgid,laplace,1.0,0.0,3,8,8,0.9358046546774781,0.03134941478998402,0.07294891640866874,0.00952654914544323,0.6123839009287926,0.02743440366144653,0.5394349845201238
ecgid,laplace,1.5,0.0,3,8,8,0.9694787748195018,0.005703971544846671,0.07279411764705881,0.011395108654090444,0.6330495356037152,0.032505317826406074,0.5602554179566565
ecgid,laplace,2.0,0.0,3,8,8,0.9490640624047623,0.011662563665781,0.09121517027863778,0.048814111426827865,0.6785216718266254,0.029529519390524714,0.5873065015479876
ecgid,laplace,4.0,0.0,3,8,8,0.9685805826771959,0.011857413694152679,0.18533281733746132,0.08207311927868133,0.6954721362229103,0.018184689972774677,0.510139318885449
ecgid,laplace,8.0,0.0,3,8,8,0.953323282799991,0.021360642804904014,0.28312693498452013,0.09976866394382738,0.6761996904024767,0.02663229675930124,0.3930727554179566
ecgid,laplace,20.0,0.0,3,8,8,0.9652918312402785,0.009063390457611334,0.5095201238390092,0.1378313380883732,0.692530959752322,0.036796710853369344,0.1830108359133128
ecgid,laplace_bounded,0.05,1e-05,3,8,8,0.5360294033493521,0.1386697103799231,0.06470588235294118,0.0,0.06501547987616099,0.000548857746394992,0.0003095975232198095
ecgid,laplace_bounded,0.1,1e-05,3,8,8,0.6752500065399308,0.045923474149949094,0.06102941176470589,0.01039862913509629,0.08866099071207431,0.0079121703948378,0.027631578947368424
ecgid,laplace_bounded,0.15,1e-05,8,8,8,0.7391534287587028,0.027326572978022844,0.056385448916408676,0.012949741530761106,0.12921826625386998,0.02048225542065932,0.0728328173374613
ecgid,laplace_bounded,0.175,1e-05,3,8,8,0.7106068734946751,0.019891053059095654,0.06137770897832818,0.009413495848613484,0.1538312693498452,0.02385218077569192,0.09245356037151703
ecgid,laplace_bounded,0.2,1e-05,8,8,8,0.7627313858364682,0.020583070156655503,0.061764705882352944,0.008837678855684119,0.17376160990712075,0.028919860536642496,0.11199690402476781
ecgid,laplace_bounded,0.225,1e-05,8,8,8,0.7890386722175152,0.015905217271379314,0.0601780185758514,0.010333241803677748,0.208359133126935,0.018202799852284277,0.1481811145510836
ecgid,laplace_bounded,0.25,1e-05,8,8,8,0.7958321992492101,0.02521528078638411,0.0643575851393189,0.0033932368756630004,0.22143962848297213,0.03909230301091807,0.15708204334365322
ecgid,laplace_bounded,0.3,1e-05,8,8,8,0.8181659674564535,0.022900098854715716,0.06393188854489165,0.012470945745255212,0.26865325077399377,0.03570098053825037,0.20472136222910212
ecgid,laplace_bounded,0.35,1e-05,8,8,8,0.8292892520843185,0.03186944539767519,0.06470588235294118,0.0,0.3195046439628483,0.032396980706588786,0.2547987616099071
ecgid,laplace_bounded,0.4,1e-05,8,8,8,0.8579535378535208,0.04099091530765593,0.06079721362229103,0.010851618744110784,0.35580495356037156,0.030105758196934854,0.29500773993808055
ecgid,laplace_bounded,0.5,1e-05,8,8,8,0.8627451853018435,0.027761799288491602,0.06706656346749226,0.0035529122098760767,0.43626160990712076,0.035795853877614324,0.3691950464396285
ecgid,laplace_bounded,0.75,1e-05,8,8,8,0.9083623719619045,0.03322040520788627,0.061106811145510836,0.022348038473834812,0.546594427244582,0.03400704171434131,0.4854876160990711
ecgid,laplace_bounded,1.0,1e-05,3,8,8,0.9607524693692197,0.00759350530237037,0.0733359133126935,0.016309009062381353,0.5936145510835913,0.03330972460870536,0.5202786377708978
ecgid,laplace_bounded,1.5,1e-05,3,8,8,0.9636589148216625,0.008957273839472256,0.07403250773993808,0.017457439716132915,0.6190402476780186,0.04707104289782546,0.5450077399380805
