database,mechanism,eps,delta,adapt_mean,adapt_std,dn_mean,dn_std,gain,gain_std
ecgid,gaussian_analytic,0.35,1e-05,0.10908,0.01879,0.18039,0.01077,0.07131,0.02166
ecgid,gaussian_analytic,0.4,1e-05,0.14334,0.01766,0.21548,0.01004,0.07214,0.02031
ecgid,gaussian_analytic,0.5,1e-05,0.1935,0.01579,0.25129,0.00589,0.05779,0.01685
ecgid,gaussian_analytic,0.75,1e-05,0.24778,0.06569,0.35273,0.02397,0.10495,0.06993
ecgid,gaussian_analytic,1.0,1e-05,0.3354,0.06987,0.44241,0.03609,0.10702,0.07864
ecgid,gaussian_analytic,2.0,1e-05,0.4773,0.02861,0.59618,0.04712,0.11889,0.05512
ecgid,gaussian_analytic,4.0,1e-05,0.61703,0.01753,0.68132,0.02961,0.06429,0.03441
ecgid,gaussian_analytic,20.0,1e-05,0.63519,0.03136,0.69587,0.00816,0.06068,0.0324
ecgid,laplace,0.05,0.0,0.06563,0.00112,0.06656,0.00164,0.00093,0.00198
ecgid,laplace,0.1,0.0,0.08782,0.01765,0.11125,0.00277,0.02343,0.01787
ecgid,laplace,0.15,0.0,0.113,0.01909,0.17833,0.00487,0.06533,0.0197
ecgid,laplace,0.175,0.0,0.14974,0.01326,0.22343,0.01118,0.07368,0.01734
ecgid,laplace,0.2,0.0,0.1741,0.02274,0.24706,0.01726,0.07296,0.02855
ecgid,laplace,0.225,0.0,0.17678,0.02774,0.27575,0.02163,0.09897,0.03518
ecgid,laplace,0.25,0.0,0.19412,0.03781,0.30537,0.02318,0.11125,0.04435
ecgid,laplace,0.35,0.0,0.27812,0.042,0.39288,0.00967,0.11476,0.04309
ecgid,laplace,0.4,0.0,0.35573,0.05809,0.46801,0.00117,0.11228,0.05811
ecgid,laplace,0.5,0.0,0.32178,0.02419,0.48813,0.03612,0.16636,0.04347
ecgid,laplace,0.75,0.0,0.49536,0.03948,0.60815,0.02956,0.1128,0.04932
ecgid,laplace,1.0,0.0,0.56285,0.01151,0.64056,0.03945,0.07771,0.04109
ecgid,laplace,2.0,0.0,0.63251,0.01084,0.69092,0.00551,0.05841,0.01215
ecgid,laplace,4.0,0.0,0.62126,0.02014,0.68369,0.02662,0.06244,0.03338
ecgid,laplace,20.0,0.0,0.67492,0.01966,0.70341,0.01378,0.02848,0.02401
ecgid,laplace_bounded,0.05,1e-05,0.06481,0.00018,0.06811,0.00275,0.0033,0.00276
ecgid,laplace_bounded,0.1,1e-05,0.08215,0.00813,0.10722,0.00423,0.02508,0.00917
ecgid,laplace_bounded,0.15,1e-05,0.13375,0.00998,0.16378,0.02254,0.03003,0.02465
ecgid,laplace_bounded,0.175,1e-05,0.15707,0.00387,0.22508,0.01049,0.06801,0.01118
ecgid,laplace_bounded,0.2,1e-05,0.13808,0.02085,0.23953,0.00888,0.10144,0.02266
ecgid,laplace_bounded,0.225,1e-05,0.17059,0.03196,0.2967,0.00797,0.12611,0.03294
ecgid,laplace_bounded,0.25,1e-05,0.20939,0.04184,0.31207,0.02663,0.10268,0.04959
ecgid,laplace_bounded,0.3,1e-05,0.20506,0.02042,0.35913,0.02037,0.15408,0.02884
ecgid,laplace_bounded,0.35,1e-05,0.24149,0.03728,0.38648,0.02104,0.14499,0.0428
ecgid,laplace_bounded,0.4,1e-05,0.34241,0.04283,0.4386,0.01257,0.09618,0.04464
ecgid,laplace_bounded,0.5,1e-05,0.39814,0.05049,0.50516,0.03759,0.10702,0.06295
ecgid,laplace_bounded,0.75,1e-05,0.48173,0.05501,0.59721,0.01681,0.11548,0.05752
ecgid,laplace_bounded,1.0,1e-05,0.55273,0.03243,0.65449,0.01324,0.10175,0.03502
ecgid,laplace_bounded,2.0,1e-05,0.61414,0.04844,0.67936,0.01331,0.06522,0.05024
ecgid,laplace_bounded,4.0,1e-05,0.65531,0.02624,0.66429,0.01471,0.00898,0.03008
ecgid,laplace_bounded,20.0,1e-05,0.6257,0.06172,0.67276,0.01532,0.04706,0.0636
